,player_id,name,position,height,weight
0,inglejo01,Joe Ingles,F,6-8,220
1,nworajo01,Jordan Nwora,F,6-8,225
2,boldema01,Marques Bolden,C,6-10,249
3,ibakase01,Serge Ibaka,F,6-10,235
4,wiggili01,Lindell Wigginton,G,6-2,189
5,vildolu01,Luca Vildoza,G,6-3,190
6,beaucma01,MarJon Beauchamp,G,6-6,199
7,matthwe02,Wesley Matthews,G,6-4,220
8,portibo01,Bobby Portis,F,6-10,250
9,carteje01,Jevon Carter,G,6-1,200
10,lopezbr01,Brook Lopez,C,7-0,282
11,greenaj01,AJ Green,G,6-4,200
12,allengr01,Grayson Allen,G,6-4,198
13,antetth01,Thanasis Antetokounmpo,F,6-6,219
14,hillge01,George Hill,G,6-4,188
15,holidjr01,Jrue Holiday,G,6-3,205
16,antetgi01,Giannis Antetokounmpo,F,6-11,242
17,connapa01,Pat Connaughton,G,6-5,209
18,middlkh01,Khris Middleton,F,6-7,222
